image_id,path,class,width,height,channels,average_R,average_G,average_B
train_normal_ (116).jpg,0_normal\train_normal_ (116).jpg,0_normal,633,532,3,105.1414912,69.89385193,55.04354488
train_normal_ (117).jpg,0_normal\train_normal_ (117).jpg,0_normal,633,531,3,101.9532612,74.46690943,57.35234423
train_normal_ (118).jpg,0_normal\train_normal_ (118).jpg,0_normal,633,532,3,148.0388738,92.83122795,70.52775303
train_normal_ (119).jpg,0_normal\train_normal_ (119).jpg,0_normal,633,532,3,117.6848312,79.1118525,61.06783547
train_normal_ (12).jpg,0_normal\train_normal_ (12).jpg,0_normal,633,532,3,146.2657562,96.02883096,73.71766502
train_normal_ (120).jpg,0_normal\train_normal_ (120).jpg,0_normal,633,531,3,99.25630201,66.62245666,52.25108071
train_normal_ (121).jpg,0_normal\train_normal_ (121).jpg,0_normal,633,532,3,144.9786077,99.42005488,74.6383227
train_normal_ (122).jpg,0_normal\train_normal_ (122).jpg,0_normal,633,531,3,115.5617795,78.85241712,59.3498987
train_normal_ (123).jpg,0_normal\train_normal_ (123).jpg,0_normal,633,532,3,144.2332401,98.77696908,74.01896328
train_normal_ (124).jpg,0_normal\train_normal_ (124).jpg,0_normal,633,531,3,140.9807243,93.61641125,71.31440871
train_normal_ (125).jpg,0_normal\train_normal_ (125).jpg,0_normal,633,532,3,120.3242466,77.4538954,60.4340086
train_normal_ (126).jpg,0_normal\train_normal_ (126).jpg,0_normal,633,532,3,137.0882687,94.97239247,72.82338845
train_normal_ (127).jpg,0_normal\train_normal_ (127).jpg,0_normal,633,532,3,151.1099193,96.67506741,74.18674649
train_normal_ (128).jpg,0_normal\train_normal_ (128).jpg,0_normal,633,531,3,134.3019549,91.62594348,70.96649738
train_normal_ (129).jpg,0_normal\train_normal_ (129).jpg,0_normal,633,532,3,127.907387,86.93542803,68.4091449
train_normal_ (13).jpg,0_normal\train_normal_ (13).jpg,0_normal,609,531,3,139.9930268,89.21024556,70.39554826
train_normal_ (130).jpg,0_normal\train_normal_ (130).jpg,0_normal,633,532,3,144.1571613,99.10325874,74.00930941
train_normal_ (131).jpg,0_normal\train_normal_ (131).jpg,0_normal,633,532,3,139.8153797,93.92455368,75.56186675
train_normal_ (132).jpg,0_normal\train_normal_ (132).jpg,0_normal,633,531,3,129.5564987,96.44784201,72.34866403
train_normal_ (133).jpg,0_normal\train_normal_ (133).jpg,0_normal,633,531,3,109.8277446,72.14037421,57.06918003
train_normal_ (134).jpg,0_normal\train_normal_ (134).jpg,0_normal,633,531,3,98.1167043,69.23057928,50.81200334
train_normal_ (135).jpg,0_normal\train_normal_ (135).jpg,0_normal,633,532,3,128.1704261,83.33464586,65.70759838
train_normal_ (136).jpg,0_normal\train_normal_ (136).jpg,0_normal,633,531,3,101.908349,68.52320133,54.34121735
train_normal_ (137).jpg,0_normal\train_normal_ (137).jpg,0_normal,633,532,3,100.989384,70.52814204,52.43621198
train_normal_ (138).jpg,0_normal\train_normal_ (138).jpg,0_normal,633,531,3,121.0614656,85.48335282,67.86382961
train_normal_ (139).jpg,0_normal\train_normal_ (139).jpg,0_normal,623,531,3,100.6086037,67.1348768,53.04905793
train_normal_ (14).jpg,0_normal\train_normal_ (14).jpg,0_normal,633,532,3,161.0178557,105.3371551,80.08313438
train_normal_ (140).jpg,0_normal\train_normal_ (140).jpg,0_normal,633,532,3,142.9482504,98.82992137,74.57380418
train_normal_ (141).jpg,0_normal\train_normal_ (141).jpg,0_normal,633,532,3,126.2690969,80.70217903,63.62621304
train_normal_ (142).jpg,0_normal\train_normal_ (142).jpg,0_normal,633,531,3,104.0271984,81.87732764,63.86830714
train_normal_ (143).jpg,0_normal\train_normal_ (143).jpg,0_normal,633,531,3,123.2496765,90.88939763,68.38990191
train_normal_ (144).jpg,0_normal\train_normal_ (144).jpg,0_normal,633,532,3,135.1097204,98.28532231,73.92910891
train_normal_ (145).jpg,0_normal\train_normal_ (145).jpg,0_normal,633,532,3,127.0071862,87.10356163,66.86125563
train_normal_ (146).jpg,0_normal\train_normal_ (146).jpg,0_normal,633,532,3,116.0274442,78.56843234,61.68894986
train_normal_ (147).jpg,0_normal\train_normal_ (147).jpg,0_normal,633,532,3,134.9599176,94.16058511,72.25167183
train_normal_ (148).jpg,0_normal\train_normal_ (148).jpg,0_normal,633,531,3,95.71499719,63.57911538,49.78270157
train_normal_ (149).jpg,0_normal\train_normal_ (149).jpg,0_normal,633,532,3,144.0994964,90.70280262,68.91581739
train_normal_ (15).jpg,0_normal\train_normal_ (15).jpg,0_normal,632,531,3,99.36000858,66.49067022,52.27499166
train_normal_ (150).jpg,0_normal\train_normal_ (150).jpg,0_normal,633,531,3,127.6784838,87.51615629,67.94328267
train_normal_ (151).jpg,0_normal\train_normal_ (151).jpg,0_normal,633,531,3,140.4471488,97.11734692,74.25151805
train_normal_ (152).jpg,0_normal\train_normal_ (152).jpg,0_normal,633,532,3,118.5640879,82.57965708,65.28715747
train_normal_ (153).jpg,0_normal\train_normal_ (153).jpg,0_normal,633,532,3,155.8038936,96.2563696,73.26036359
train_normal_ (154).jpg,0_normal\train_normal_ (154).jpg,0_normal,633,532,3,154.4416284,96.24458658,74.42198209
train_normal_ (155).jpg,0_normal\train_normal_ (155).jpg,0_normal,633,531,3,127.5258908,89.44522095,68.87842248
train_normal_ (156).jpg,0_normal\train_normal_ (156).jpg,0_normal,633,532,3,107.2225053,74.43765516,57.72690019
train_normal_ (157).jpg,0_normal\train_normal_ (157).jpg,0_normal,633,532,3,143.6574374,90.40017104,69.24657319
train_normal_ (158).jpg,0_normal\train_normal_ (158).jpg,0_normal,633,532,3,135.9441881,98.609174,74.02342052
train_normal_ (159).jpg,0_normal\train_normal_ (159).jpg,0_normal,633,531,3,123.9136715,88.37204833,66.98152165
train_normal_ (16).jpg,0_normal\train_normal_ (16).jpg,0_normal,633,531,3,112.2185509,77.31720233,58.35518843
train_normal_ (160).jpg,0_normal\train_normal_ (160).jpg,0_normal,633,532,3,116.7985218,86.07046942,65.52370262
train_normal_ (161).jpg,0_normal\train_normal_ (161).jpg,0_normal,633,531,3,143.4833022,103.9883346,77.73643577
train_normal_ (162).jpg,0_normal\train_normal_ (162).jpg,0_normal,633,532,3,114.8170515,77.64243547,61.18190322
train_normal_ (163).jpg,0_normal\train_normal_ (163).jpg,0_normal,633,531,3,105.601262,71.0513086,56.68730197
train_normal_ (164).jpg,0_normal\train_normal_ (164).jpg,0_normal,633,532,3,146.6689146,95.67197318,72.70682928
train_normal_ (165).jpg,0_normal\train_normal_ (165).jpg,0_normal,633,531,3,156.1790505,100.3759219,75.53825237
train_normal_ (166).jpg,0_normal\train_normal_ (166).jpg,0_normal,633,531,3,124.7768436,86.17540008,66.06508332
train_normal_ (167).jpg,0_normal\train_normal_ (167).jpg,0_normal,633,531,3,117.4612895,79.27494102,59.21670043
train_normal_ (168).jpg,0_normal\train_normal_ (168).jpg,0_normal,633,531,3,133.9142576,98.63887624,73.9868322
train_normal_ (169).jpg,0_normal\train_normal_ (169).jpg,0_normal,633,531,3,122.8259328,87.6146857,67.41009095
train_normal_ (17).jpg,0_normal\train_normal_ (17).jpg,0_normal,633,532,3,153.4535895,93.27420447,70.88309934
train_normal_ (170).jpg,0_normal\train_normal_ (170).jpg,0_normal,633,532,3,138.7389564,98.14162183,73.47576584
train_normal_ (171).jpg,0_normal\train_normal_ (171).jpg,0_normal,633,532,3,158.2848056,101.2480579,76.40710485
train_normal_ (172).jpg,0_normal\train_normal_ (172).jpg,0_normal,633,532,3,118.5002138,91.81578057,69.6488407
train_normal_ (173).jpg,0_normal\train_normal_ (173).jpg,0_normal,633,531,3,95.48789878,63.48833314,49.83596481
train_normal_ (174).jpg,0_normal\train_normal_ (174).jpg,0_normal,633,532,3,134.9993259,98.88350913,74.18497666
train_normal_ (175).jpg,0_normal\train_normal_ (175).jpg,0_normal,633,531,3,127.8354025,88.50440464,67.59306266
train_normal_ (176).jpg,0_normal\train_normal_ (176).jpg,0_normal,633,532,3,149.0137429,93.98400622,72.82947594
train_normal_ (177).jpg,0_normal\train_normal_ (177).jpg,0_normal,633,531,3,158.6962064,112.1321034,83.62803795
train_normal_ (178).jpg,0_normal\train_normal_ (178).jpg,0_normal,633,532,3,144.9664653,89.51744884,67.77598617
train_normal_ (179).jpg,0_normal\train_normal_ (179).jpg,0_normal,633,531,3,93.01353969,67.3185441,48.04623308
train_normal_ (18).jpg,0_normal\train_normal_ (18).jpg,0_normal,633,531,3,145.1303303,97.53495298,74.79074922
train_normal_ (180).jpg,0_normal\train_normal_ (180).jpg,0_normal,633,532,3,119.6447458,79.226042,62.55830928
train_normal_ (181).jpg,0_normal\train_normal_ (181).jpg,0_normal,459,530,3,97.41432565,75.67820118,60.63189871
train_normal_ (182).jpg,0_normal\train_normal_ (182).jpg,0_normal,633,532,3,120.6272969,77.98517918,59.6057264
train_normal_ (183).jpg,0_normal\train_normal_ (183).jpg,0_normal,633,531,3,136.7056643,94.88667839,73.04648298
train_normal_ (184).jpg,0_normal\train_normal_ (184).jpg,0_normal,633,531,3,93.7254636,68.01735377,48.26655718
train_normal_ (185).jpg,0_normal\train_normal_ (185).jpg,0_normal,633,532,3,99.81904999,69.73087636,51.73823481
train_normal_ (186).jpg,0_normal\train_normal_ (186).jpg,0_normal,633,531,3,100.9366809,70.25524585,52.1424657
train_normal_ (187).jpg,0_normal\train_normal_ (187).jpg,0_normal,633,531,3,112.7633396,88.65009238,69.43523651
train_normal_ (188).jpg,0_normal\train_normal_ (188).jpg,0_normal,632,531,3,99.08233808,66.13774762,51.93148824
train_normal_ (189).jpg,0_normal\train_normal_ (189).jpg,0_normal,633,531,3,142.2251854,94.53807981,72.00431985
train_normal_ (19).jpg,0_normal\train_normal_ (19).jpg,0_normal,633,532,3,145.0675088,90.99585457,69.83097851
train_normal_ (190).jpg,0_normal\train_normal_ (190).jpg,0_normal,633,532,3,140.8547465,90.02423713,69.46164285
train_normal_ (191).jpg,0_normal\train_normal_ (191).jpg,0_normal,633,531,3,144.6749226,95.61515576,72.47677487
train_normal_ (192).jpg,0_normal\train_normal_ (192).jpg,0_normal,633,531,3,143.3889469,95.40816308,72.71687745
train_normal_ (193).jpg,0_normal\train_normal_ (193).jpg,0_normal,632,531,3,127.8641386,87.32969797,70.05154473
train_normal_ (194).jpg,0_normal\train_normal_ (194).jpg,0_normal,633,532,3,144.0079613,92.88369027,72.87280999
train_normal_ (195).jpg,0_normal\train_normal_ (195).jpg,0_normal,633,531,3,131.6790104,99.15964394,74.92184111
train_normal_ (196).jpg,0_normal\train_normal_ (196).jpg,0_normal,633,531,3,124.119608,88.44909155,67.03726612
train_normal_ (197).jpg,0_normal\train_normal_ (197).jpg,0_normal,633,532,3,149.2961818,97.93275547,74.82710924
train_normal_ (198).jpg,0_normal\train_normal_ (198).jpg,0_normal,633,532,3,149.9942154,96.69295573,74.10207094
train_normal_ (199).jpg,0_normal\train_normal_ (199).jpg,0_normal,633,531,3,111.1315322,80.98205419,61.88023432
train_normal_ (2).jpg,0_normal\train_normal_ (2).jpg,0_normal,633,532,3,150.1276592,107.5454394,81.3258858
train_normal_ (20).jpg,0_normal\train_normal_ (20).jpg,0_normal,633,531,3,131.5407961,87.04149671,66.46298528
train_normal_ (200).jpg,0_normal\train_normal_ (200).jpg,0_normal,633,531,3,103.5617319,75.92647632,57.8915397
train_normal_ (201).jpg,0_normal\train_normal_ (201).jpg,0_normal,633,532,3,99.64837152,69.54872074,51.6336487
train_normal_ (202).jpg,0_normal\train_normal_ (202).jpg,0_normal,633,531,3,160.6929963,115.4891186,86.50227149
train_normal_ (203).jpg,0_normal\train_normal_ (203).jpg,0_normal,633,532,3,142.8006628,94.14524166,72.07206405
train_normal_ (204).jpg,0_normal\train_normal_ (204).jpg,0_normal,633,532,3,106.1517627,72.13554324,55.52847759
train_normal_ (205).jpg,0_normal\train_normal_ (205).jpg,0_normal,480,530,3,101.0114544,76.09927673,60.70876965
train_normal_ (206).jpg,0_normal\train_normal_ (206).jpg,0_normal,633,532,3,115.198868,85.55817268,64.76287876
train_normal_ (207).jpg,0_normal\train_normal_ (207).jpg,0_normal,633,531,3,140.1690125,96.66640188,73.63599635
train_normal_ (208).jpg,0_normal\train_normal_ (208).jpg,0_normal,633,531,3,135.8409898,95.60053611,71.49007655
train_normal_ (209).jpg,0_normal\train_normal_ (209).jpg,0_normal,633,532,3,144.2921076,99.61650869,74.19322893
train_normal_ (21).jpg,0_normal\train_normal_ (21).jpg,0_normal,633,531,3,108.7281918,70.90765285,55.97335797
train_normal_ (210).jpg,0_normal\train_normal_ (210).jpg,0_normal,633,531,3,142.9839166,90.43022048,69.41440485
train_normal_ (211).jpg,0_normal\train_normal_ (211).jpg,0_normal,629,531,3,98.74473876,66.03055398,52.08341043
train_normal_ (212).jpg,0_normal\train_normal_ (212).jpg,0_normal,633,531,3,146.2005278,97.69584349,74.94606141
train_normal_ (213).jpg,0_normal\train_normal_ (213).jpg,0_normal,633,531,3,144.2370174,95.40762161,72.38960738
train_normal_ (214).jpg,0_normal\train_normal_ (214).jpg,0_normal,633,531,3,96.61122268,68.51364828,50.77937541
train_normal_ (215).jpg,0_normal\train_normal_ (215).jpg,0_normal,633,532,3,119.7571981,82.76185725,63.88746451
train_normal_ (216).jpg,0_normal\train_normal_ (216).jpg,0_normal,633,531,3,94.09379007,67.04032452,48.89294395
train_normal_ (217).jpg,0_normal\train_normal_ (217).jpg,0_normal,633,532,3,149.9533936,96.42236219,74.38577189
train_normal_ (218).jpg,0_normal\train_normal_ (218).jpg,0_normal,633,531,3,128.243756,88.87696766,67.68646894
train_normal_ (219).jpg,0_normal\train_normal_ (219).jpg,0_normal,633,531,3,141.0973483,101.9773654,76.03396078
train_normal_ (22).jpg,0_normal\train_normal_ (22).jpg,0_normal,633,532,3,135.9720332,98.35199373,73.91275879
train_normal_ (220).jpg,0_normal\train_normal_ (220).jpg,0_normal,633,530,3,118.3661421,85.93016185,63.31090644
train_normal_ (221).jpg,0_normal\train_normal_ (221).jpg,0_normal,633,531,3,146.9272498,97.06544033,74.43442133
train_normal_ (222).jpg,0_normal\train_normal_ (222).jpg,0_normal,633,532,3,98.64241469,69.34291891,50.98846346
train_normal_ (223).jpg,0_normal\train_normal_ (223).jpg,0_normal,633,531,3,153.5767561,106.5975372,79.37194122
train_normal_ (224).jpg,0_normal\train_normal_ (224).jpg,0_normal,633,531,3,133.0680822,93.68012603,71.59329769
train_normal_ (225).jpg,0_normal\train_normal_ (225).jpg,0_normal,633,531,3,134.3248097,93.62076085,71.34412105
train_normal_ (226).jpg,0_normal\train_normal_ (226).jpg,0_normal,632,531,3,106.941563,71.0417054,56.30249827
train_normal_ (227).jpg,0_normal\train_normal_ (227).jpg,0_normal,633,532,3,137.3037362,101.5124096,77.45162076
train_normal_ (228).jpg,0_normal\train_normal_ (228).jpg,0_normal,633,531,3,133.3665384,100.5622763,75.6641051
train_normal_ (229).jpg,0_normal\train_normal_ (229).jpg,0_normal,633,532,3,144.7935211,94.65324449,73.83910903
train_normal_ (23).jpg,0_normal\train_normal_ (23).jpg,0_normal,633,531,3,137.8913463,98.83098449,74.37828414
train_normal_ (230).jpg,0_normal\train_normal_ (230).jpg,0_normal,633,531,3,112.7346834,77.50959619,58.77529059
train_normal_ (231).jpg,0_normal\train_normal_ (231).jpg,0_normal,633,532,3,142.981984,100.6722375,76.51924539
train_normal_ (232).jpg,0_normal\train_normal_ (232).jpg,0_normal,633,531,3,146.5687591,106.8053718,81.27334041
train_normal_ (233).jpg,0_normal\train_normal_ (233).jpg,0_normal,633,532,3,139.5556456,94.80165461,76.05960102
train_normal_ (234).jpg,0_normal\train_normal_ (234).jpg,0_normal,633,532,3,144.740646,99.13916901,74.12626353
train_normal_ (235).jpg,0_normal\train_normal_ (235).jpg,0_normal,633,532,3,145.6889083,91.37824716,69.54034969
train_normal_ (236).jpg,0_normal\train_normal_ (236).jpg,0_normal,633,531,3,129.5136602,95.08185694,71.27312918
train_normal_ (237).jpg,0_normal\train_normal_ (237).jpg,0_normal,633,531,3,92.60019695,66.91868453,47.93366119
train_normal_ (238).jpg,0_normal\train_normal_ (238).jpg,0_normal,624,531,3,130.8539162,87.25214882,69.69087414
train_normal_ (239).jpg,0_normal\train_normal_ (239).jpg,0_normal,633,531,3,159.5908551,101.5959991,76.16063762
train_normal_ (24).jpg,0_normal\train_normal_ (24).jpg,0_normal,633,531,3,119.7534325,84.37892379,66.8656117
train_normal_ (240).jpg,0_normal\train_normal_ (240).jpg,0_normal,633,531,3,127.7841475,88.09827355,66.42874781
train_normal_ (241).jpg,0_normal\train_normal_ (241).jpg,0_normal,633,531,3,94.10097494,67.12324655,48.90925346
train_normal_ (242).jpg,0_normal\train_normal_ (242).jpg,0_normal,633,532,3,140.3863985,91.51235613,72.75376534
train_normal_ (243).jpg,0_normal\train_normal_ (243).jpg,0_normal,633,531,3,100.4466014,70.09562571,52.07610607
train_normal_ (244).jpg,0_normal\train_normal_ (244).jpg,0_normal,633,532,3,162.9440158,102.4407316,78.19360902
train_normal_ (245).jpg,0_normal\train_normal_ (245).jpg,0_normal,633,531,3,126.1897371,93.93838863,70.22849076
train_normal_ (246).jpg,0_normal\train_normal_ (246).jpg,0_normal,633,532,3,138.6320986,89.2786617,68.26036359
train_normal_ (247).jpg,0_normal\train_normal_ (247).jpg,0_normal,633,531,3,142.9599522,95.50167052,72.36849606
train_normal_ (248).jpg,0_normal\train_normal_ (248).jpg,0_normal,611,531,3,141.2171735,90.37134333,71.37284437
train_normal_ (249).jpg,0_normal\train_normal_ (249).jpg,0_normal,633,531,3,95.81652252,67.63332173,48.30718517
train_normal_ (25).jpg,0_normal\train_normal_ (25).jpg,0_normal,633,531,3,104.667946,71.72420513,52.9368862
train_normal_ (250).jpg,0_normal\train_normal_ (250).jpg,0_normal,633,531,3,94.43526031,67.30703344,48.75718115
train_normal_ (251).jpg,0_normal\train_normal_ (251).jpg,0_normal,633,531,3,96.12712311,75.74385567,57.82016405
train_normal_ (252).jpg,0_normal\train_normal_ (252).jpg,0_normal,633,531,3,128.9720846,89.21369558,68.50654671
train_normal_ (253).jpg,0_normal\train_normal_ (253).jpg,0_normal,633,531,3,107.3194515,79.23168602,64.979448
train_normal_ (254).jpg,0_normal\train_normal_ (254).jpg,0_normal,633,532,3,152.5738368,94.22593807,72.61150804
train_normal_ (255).jpg,0_normal\train_normal_ (255).jpg,0_normal,633,531,3,147.1694826,110.6632989,83.60107758
train_normal_ (256).jpg,0_normal\train_normal_ (256).jpg,0_normal,633,532,3,145.274056,94.99947143,75.10643314
train_normal_ (257).jpg,0_normal\train_normal_ (257).jpg,0_normal,633,532,3,144.1285233,99.21269406,74.13102068
train_normal_ (258).jpg,0_normal\train_normal_ (258).jpg,0_normal,633,531,3,94.75402457,75.57548873,56.93212604
train_normal_ (259).jpg,0_normal\train_normal_ (259).jpg,0_normal,633,532,3,150.0070852,91.73444868,69.87061552
train_normal_ (26).jpg,0_normal\train_normal_ (26).jpg,0_normal,633,531,3,107.3150811,72.38285687,55.34729548
train_normal_ (260).jpg,0_normal\train_normal_ (260).jpg,0_normal,633,532,3,141.0875946,90.08267113,69.40948936
train_normal_ (261).jpg,0_normal\train_normal_ (261).jpg,0_normal,633,532,3,104.2034084,70.30723729,53.32779817
train_normal_ (262).jpg,0_normal\train_normal_ (262).jpg,0_normal,633,532,3,150.5984689,100.7855658,77.31840858
train_normal_ (263).jpg,0_normal\train_normal_ (263).jpg,0_normal,633,532,3,123.9514871,93.20676098,72.4585991
train_normal_ (264).jpg,0_normal\train_normal_ (264).jpg,0_normal,633,531,3,138.6917468,90.42885789,69.58262898
train_normal_ (265).jpg,0_normal\train_normal_ (265).jpg,0_normal,633,532,3,163.239292,101.159525,77.67353514
train_normal_ (266).jpg,0_normal\train_normal_ (266).jpg,0_normal,633,532,3,114.6489595,77.17235328,60.96775113
train_normal_ (267).jpg,0_normal\train_normal_ (267).jpg,0_normal,633,531,3,97.48749416,68.73397834,53.31600039
train_normal_ (268).jpg,0_normal\train_normal_ (268).jpg,0_normal,633,532,3,144.7668341,99.77014515,74.97483341
train_normal_ (269).jpg,0_normal\train_normal_ (269).jpg,0_normal,619,532,3,136.7330857,88.50530203,70.14753969
train_normal_ (27).jpg,0_normal\train_normal_ (27).jpg,0_normal,633,532,3,112.5988757,75.04723301,57.54566214
train_normal_ (270).jpg,0_normal\train_normal_ (270).jpg,0_normal,633,531,3,96.91312704,68.14266206,52.78685184
train_normal_ (271).jpg,0_normal\train_normal_ (271).jpg,0_normal,633,532,3,122.6733213,86.05563672,68.36194752
train_normal_ (272).jpg,0_normal\train_normal_ (272).jpg,0_normal,631,531,3,131.2836797,86.00260848,68.46566446
train_normal_ (273).jpg,0_normal\train_normal_ (273).jpg,0_normal,633,532,3,116.813402,79.33485372,62.64561582
train_normal_ (274).jpg,0_normal\train_normal_ (274).jpg,0_normal,631,532,3,96.64747745,69.99917484,56.29269688
train_normal_ (275).jpg,0_normal\train_normal_ (275).jpg,0_normal,633,531,3,119.9375675,79.19703799,60.81604948
train_normal_ (276).jpg,0_normal\train_normal_ (276).jpg,0_normal,633,532,3,157.405822,100.9012163,76.13738434
train_normal_ (277).jpg,0_normal\train_normal_ (277).jpg,0_normal,633,532,3,104.8494013,72.50885805,54.58123092
train_normal_ (278).jpg,0_normal\train_normal_ (278).jpg,0_normal,633,532,3,125.7355326,85.09822245,66.82038627
train_normal_ (279).jpg,0_normal\train_normal_ (279).jpg,0_normal,633,531,3,140.6229059,104.5429143,78.8929856
train_normal_ (28).jpg,0_normal\train_normal_ (28).jpg,0_normal,633,531,3,113.2709127,74.0652648,58.80710633
train_normal_ (280).jpg,0_normal\train_normal_ (280).jpg,0_normal,633,532,3,150.5510637,93.79021309,71.74655834
train_normal_ (281).jpg,0_normal\train_normal_ (281).jpg,0_normal,633,532,3,141.5406169,89.00103042,68.26029232
train_normal_ (282).jpg,0_normal\train_normal_ (282).jpg,0_normal,633,531,3,117.1203667,82.16309208,62.49516992
train_normal_ (283).jpg,0_normal\train_normal_ (283).jpg,0_normal,633,532,3,157.7563815,96.50674969,74.0700626
train_normal_ (284).jpg,0_normal\train_normal_ (284).jpg,0_normal,633,531,3,142.932129,103.3377365,77.46214035
train_normal_ (285).jpg,0_normal\train_normal_ (285).jpg,0_normal,633,531,3,141.6078311,103.27423,77.71019537
train_normal_ (286).jpg,0_normal\train_normal_ (286).jpg,0_normal,633,531,3,101.3724232,70.41389015,52.25864044
train_normal_ (287).jpg,0_normal\train_normal_ (287).jpg,0_normal,633,531,3,143.6634922,95.20855461,72.55721269
train_normal_ (288).jpg,0_normal\train_normal_ (288).jpg,0_normal,633,532,3,124.6925875,81.02645833,64.41713882
train_normal_ (289).jpg,0_normal\train_normal_ (289).jpg,0_normal,633,532,3,147.2791071,94.2986168,71.95132084
train_normal_ (29).jpg,0_normal\train_normal_ (29).jpg,0_normal,633,531,3,145.0407232,101.9700586,76.20656426
train_normal_ (290).jpg,0_normal\train_normal_ (290).jpg,0_normal,633,531,3,138.212806,97.95924706,71.98344059
train_normal_ (291).jpg,0_normal\train_normal_ (291).jpg,0_normal,633,532,3,127.4127885,98.72723277,75.86905356
train_normal_ (292).jpg,0_normal\train_normal_ (292).jpg,0_normal,633,532,3,151.3476256,94.17097245,71.71200513
train_normal_ (293).jpg,0_normal\train_normal_ (293).jpg,0_normal,633,532,3,127.8288494,86.94091568,68.35640642
train_normal_ (294).jpg,0_normal\train_normal_ (294).jpg,0_normal,633,531,3,91.17581362,65.89760891,47.62431015
train_normal_ (295).jpg,0_normal\train_normal_ (295).jpg,0_normal,633,531,3,128.6182647,87.17793784,68.39831252
train_normal_ (296).jpg,0_normal\train_normal_ (296).jpg,0_normal,628,531,3,131.5652566,86.44398563,69.1118698
train_normal_ (297).jpg,0_normal\train_normal_ (297).jpg,0_normal,633,532,3,103.2350337,72.89582368,53.7685921
train_normal_ (298).jpg,0_normal\train_normal_ (298).jpg,0_normal,609,531,3,140.2906991,89.20349806,70.36818099
train_normal_ (299).jpg,0_normal\train_normal_ (299).jpg,0_normal,633,532,3,133.4893543,93.2709588,71.50882835
train_normal_ (3).jpg,0_normal\train_normal_ (3).jpg,0_normal,633,532,3,138.0137191,90.43054615,71.59570728
train_normal_ (30).jpg,0_normal\train_normal_ (30).jpg,0_normal,633,532,3,156.0619351,100.3505921,75.54894048
train_normal_ (300).jpg,0_normal\train_normal_ (300).jpg,0_normal,633,531,3,100.6847612,70.09129099,52.06650839
train_normal_ (301).jpg,0_normal\train_normal_ (301).jpg,0_normal,628,531,3,108.5834053,77.70660153,62.95936642
train_normal_ (302).jpg,0_normal\train_normal_ (302).jpg,0_normal,633,531,3,141.3810064,97.21210093,74.29216091
train_normal_ (303).jpg,0_normal\train_normal_ (303).jpg,0_normal,633,531,3,143.214719,98.1864734,75.26395694
train_normal_ (304).jpg,0_normal\train_normal_ (304).jpg,0_normal,633,532,3,143.6447517,91.76018839,70.14589198
train_normal_ (305).jpg,0_normal\train_normal_ (305).jpg,0_normal,633,532,3,152.4236836,93.80812517,71.74671572
train_normal_ (306).jpg,0_normal\train_normal_ (306).jpg,0_normal,633,532,3,147.8793667,91.36384801,69.74672166
train_normal_ (307).jpg,0_normal\train_normal_ (307).jpg,0_normal,633,531,3,134.3496131,84.948501,64.86615019
